system:index,LST,NDBI,NDVI,NDWI,zone_id,.geo,city,city_normalized,has_water_access,distance_to_pipeline,income,ndvi_n,lst_n,ndbi_n,ndwi_n,income_n,water_score,water_feasible,priority_score,cost,efficiency,selected
2,33.697423010608304,0.0025707528288976,0.2222779999842927,-0.2672741978204459,Z3,"{""type"":""Polygon"",""coordinates"":[[[78.54000186464977,17.30000115468713],[78.54000186464977,17.450000834989922],[78.46000108025841,17.450000837772027],[78.46000108025841,17.300001090066623],[78.54000186464977,17.30000115468713]]]}",hyderabad_features,hyderabad,1.0,300.0,0.7648838730150594,0.0,0.012619456117080782,0.0,1.0,0.5979296388536454,0.7009966777408637,True,7.415335784316132,80.0,0.09269169730395165,True
0,34.26992445032721,0.0306776426416568,0.2539473941539771,-0.3130664291630464,Z1,"{""type"":""Polygon"",""coordinates"":[[[78.3800003784321,17.300001100243428],[78.3800003784321,17.450000768699528],[78.29999966915584,17.45000084831652],[78.29999966915584,17.300001139474084],[78.3800003784321,17.300001100243428]]]}",hyderabad_features,hyderabad,1.0,120.0,0.7547098683970334,0.230812371489585,0.28047877427454365,0.3362120659038248,0.7325929371760129,0.41961318258960445,0.7024793388429752,True,7.34680090911732,103.53484461326774,0.07095969416441125,True
1,33.6704511776133,0.0215546255488444,0.2688037554385784,-0.3245656460245161,Z2,"{""type"":""Polygon"",""coordinates"":[[[78.46000108025841,17.300001090066623],[78.46000108025841,17.450000837772027],[78.3800003784321,17.450000768699528],[78.3800003784321,17.300001100243428],[78.46000108025841,17.300001090066623]]]}",hyderabad_features,hyderabad,0.0,900.0,0.7655528887473825,0.33908826592040825,0.0,0.22708336313792976,0.665442424620818,0.6096552591036468,0.0003329633740288568,False,7.414923525250526,95.89583541965509,0.07732268552436784,False
4,35.32585386212645,0.0286022298807821,0.3594863912212998,-0.4385196049499572,Z5,"{""type"":""Polygon"",""coordinates"":[[[78.69999883462852,17.3000011271061],[78.69999883462852,17.450000853620047],[78.61999814249717,17.450000803194648],[78.61999814249717,17.30000107202228],[78.69999883462852,17.3000011271061]]]}",hyderabad_features,hyderabad,0.0,400.0,0.7878243564498424,1.0,0.7745221297040571,0.311386166752931,0.0,1.0,0.0007481296758104738,False,7.499128539611341,101.79703167270517,0.07366745784614151,False
7,33.828713276603935,0.03918255244325,0.3206656485174132,-0.4037787723535295,Z8,"{""type"":""Polygon"",""coordinates"":[[[78.54000186464977,17.450000834989922],[78.54000186464977,17.60000051188324],[78.46000108025841,17.600000472294163],[78.46000108025841,17.450000837772027],[78.54000186464977,17.450000834989922]]]}",hyderabad_features,hyderabad,0.0,1000.0,0.7687719078449489,0.7170672846325447,0.07404693680179052,0.4379470253307936,0.20287161669774612,0.6660739555437194,0.0002997002997002997,False,7.370027372967635,110.65629177315554,0.06660287684387733,False
3,34.87833619914085,0.0397622803131143,0.2914892708615263,-0.3681962718819504,Z4,"{""type"":""Polygon"",""coordinates"":[[[78.61999814249717,17.30000107202228],[78.61999814249717,17.450000803194648],[78.54000186464977,17.450000834989922],[78.54000186464977,17.30000115468713],[78.61999814249717,17.30000107202228]]]}",hyderabad_features,hyderabad,1.0,700.0,0.7596131850392778,0.5044244761800424,0.5651396412869077,0.4448816775134986,0.4106582141197042,0.505552012029133,0.7004279600570613,False,7.367044207380853,111.1417174259449,0.06628513917188301,False
6,34.31469210213976,0.0483974632193977,0.2712161301988069,-0.3500515005458824,Z7,"{""type"":""Polygon"",""coordinates"":[[[78.46000108025841,17.450000837772027],[78.46000108025841,17.600000472294163],[78.3800003784321,17.600000481302104],[78.3800003784321,17.450000768699528],[78.46000108025841,17.450000837772027]]]}",hyderabad_features,hyderabad,0.0,1000.0,0.7474866148060636,0.35667009702038466,0.30142445555686115,0.5481749519995642,0.5166159249875075,0.29301357590610244,0.0002997002997002997,False,7.332737596876187,118.37224663996949,0.061946425830530956,False
5,34.58986530689009,0.0487854026782618,0.2628327844798255,-0.3410538477025492,Z6,"{""type"":""Polygon"",""coordinates"":[[[78.3800003784321,17.450000768699528],[78.3800003784321,17.600000481302104],[78.29999966915584,17.6000004925567],[78.29999966915584,17.45000084831652],[78.3800003784321,17.450000768699528]]]}",hyderabad_features,hyderabad,0.0,1000.0,0.7447000534691643,0.2955707309874397,0.4301712182476547,0.5528154486101533,0.5691583726604449,0.24417442540307596,0.0002997002997002997,False,7.328309541405045,118.69708140271072,0.061739593381760154,False
8,34.10255780599897,0.0587968249462008,0.3118114661296443,-0.4008169528100763,Z9,"{""type"":""Polygon"",""coordinates"":[[[78.61999814249717,17.450000803194648],[78.61999814249717,17.600000552470696],[78.54000186464977,17.60000051188324],[78.54000186464977,17.450000834989922],[78.61999814249717,17.450000803194648]]]}",hyderabad_features,hyderabad,0.0,1000.0,0.7523856623765527,0.6525363743292919,0.20217204503020053,0.6725711734791261,0.22016737716864274,0.3788775827191898,0.0002997002997002997,False,7.305855686256757,127.07998214353883,0.057490216500067484,False
9,35.807772528451494,0.0861694474123315,0.3036235893690664,-0.4171868540521476,Z10,"{""type"":""Polygon"",""coordinates"":[[[78.69999883462852,17.450000853620047],[78.69999883462852,17.60000053121498],[78.61999814249717,17.600000552470696],[78.61999814249717,17.450000803194648],[78.69999883462852,17.450000853620047]]]}",hyderabad_features,hyderabad,0.0,1000.0,0.7307684636220879,0.592861622029088,1.0,1.0,0.1245741492014195,0.0,0.0002997002997002997,False,7.410361444368378,150.0,0.04940240962912252,False
