system:index,LST,NDBI,NDVI,NDWI,zone_id,.geo,city,city_normalized,rainfall,soil_moisture,news_drought_score,has_water_access,distance_to_pipeline,income,ndvi_n,lst_n,ndbi_n,ndwi_n,income_n,drought_index,water_score,priority_score,water_feasible,water_ok,trees,risk_level,cost,efficiency,selected
0,40.58700411096379,-0.0383657176108065,0.5,-0.4048056505472539,Z1,"{""type"":""Polygon"",""coordinates"":[[[80.26000200905669,26.30000096105001],[80.26000200905669,26.42499845339686],[80.20000032259412,26.42499849824685],[80.20000032259412,26.300000987555936],[80.26000200905669,26.30000096105001]]]}",kanpur_features,kanpur,10,0.35,0.5,1.0,120.0,0.8768560023275646,0.5,0.5,0.03775141521499881,0.0,0.9622485847849996,0.61,0.7024793388429752,7.5649460366957,True,True,105,High,82.64259906504992,0.09153809442441609,True
2,40.58700411096379,-0.0183450560980285,0.5,-0.3630110586568988,Z3,"{""type"":""Polygon"",""coordinates"":[[[80.38000085238967,26.300000925250615],[80.38000085238967,26.42499852504799],[80.31999916095003,26.42499845774166],[80.31999916095003,26.300000995971626],[80.38000085238967,26.300000925250615]]]}",kanpur_features,kanpur,10,0.35,0.5,1.0,300.0,0.86284153926862,0.5,0.5,0.6238610674532495,0.5197676591824556,0.3761389325467522,0.61,0.7009966777408637,8.728290434448851,True,True,122,High,123.67027472172747,0.07057710880070836,True
4,40.58700411096379,-0.0396552515790009,0.5,-0.3909399589330579,Z5,"{""type"":""Polygon"",""coordinates"":[[[80.49999972911418,26.300001008625983],[80.49999972911418,26.42499849395884],[80.43999805042311,26.42499850779653],[80.43999805042311,26.300000960385034],[80.49999972911418,26.300001008625983]]]}",kanpur_features,kanpur,10,0.35,0.5,0.0,400.0,0.8777586761053007,0.5,0.5,0.0,0.172437096458875,1.0,0.61,0.0007481296758104738,6.210294368099438,False,False,86,High,80.0,0.07762867960124298,False
3,40.58700411096379,-0.027929027733828,0.5,-0.3812431502643217,Z4,"{""type"":""Polygon"",""coordinates"":[[[80.43999805042311,26.300000960385034],[80.43999805042311,26.42499850779653],[80.38000085238967,26.42499852504799],[80.38000085238967,26.300000925250615],[80.43999805042311,26.300000960385034]]]}",kanpur_features,kanpur,10,0.35,0.5,1.0,700.0,0.8695503194136796,0.5,0.5,0.34328800652144464,0.2930289557240983,0.6567119934785535,0.61,0.7004279600570613,7.485960339724397,False,False,104,High,104.03016045650112,0.0719595193055052,False
1,40.58700411096379,-0.0228354501176471,0.5,-0.3748725858612037,Z2,"{""type"":""Polygon"",""coordinates"":[[[80.31999916095003,26.300000995971626],[80.31999916095003,26.42499845774166],[80.26000200905669,26.42499845339686],[80.26000200905669,26.30000096105001],[80.31999916095003,26.300000995971626]]]}",kanpur_features,kanpur,10,0.35,0.5,0.0,900.0,0.8659848150823529,0.5,0.5,0.4924037089852681,0.37225483633962,0.5075962910147309,0.61,0.0003329633740288568,7.9996310045768375,False,False,111,High,114.46825962896877,0.06988514572079989,True
8,40.58700411096379,-0.0189028945520869,0.5,-0.3649624533963576,Z9,"{""type"":""Polygon"",""coordinates"":[[[80.43999805042311,26.42499850779653],[80.43999805042311,26.550000497810995],[80.38000085238967,26.550000484178604],[80.38000085238967,26.42499852504799],[80.43999805042311,26.42499850779653]]]}",kanpur_features,kanpur,10,0.35,0.5,0.0,1000.0,0.8632320261864608,0.5,0.5,0.6075302133451265,0.49549964195835383,0.392469786654873,0.61,0.0002997002997002997,7.9996310045768375,False,False,111,High,122.52711493415885,0.06528865883176567,False
9,40.58700411096379,-0.0145954032962732,0.5,-0.3794710377982891,Z10,"{""type"":""Polygon"",""coordinates"":[[[80.49999972911418,26.42499849395884],[80.49999972911418,26.550000505234376],[80.43999805042311,26.550000497810995],[80.43999805042311,26.42499850779653],[80.49999972911418,26.42499849395884]]]}",kanpur_features,kanpur,10,0.35,0.5,0.0,1000.0,0.8602167823073912,0.5,0.5,0.7336330496751314,0.3150673752089496,0.2663669503248685,0.61,0.0002997002997002997,7.958861931995669,False,False,111,High,131.3543134772592,0.060590792348616335,False
5,40.58700411096379,-0.0054966919369227,0.5,-0.3420629774948486,Z6,"{""type"":""Polygon"",""coordinates"":[[[80.26000200905669,26.42499845339686],[80.26000200905669,26.55000049531221],[80.20000032259412,26.550000475409632],[80.20000032259412,26.42499849824685],[80.26000200905669,26.42499845339686]]]}",kanpur_features,kanpur,10,0.35,0.5,0.0,1000.0,0.8538476843558458,0.5,0.5,1.0,0.7802830660209077,0.0,0.61,0.0002997002997002997,0.0,False,False,0,High,150.0,0.0,False
6,40.58700411096379,-0.0363492375131021,0.5,-0.324395507376565,Z7,"{""type"":""Polygon"",""coordinates"":[[[80.31999916095003,26.42499845774166],[80.31999916095003,26.55000046314648],[80.26000200905669,26.55000049531221],[80.26000200905669,26.42499845339686],[80.31999916095003,26.42499845774166]]]}",kanpur_features,kanpur,10,0.35,0.5,0.0,1000.0,0.8754444662591714,0.5,0.5,0.09678435216648552,1.0,0.9032156478335095,0.61,0.0002997002997002997,0.0,False,False,0,High,86.77490465165398,0.0,False
7,40.58700411096379,-0.0139782098845812,0.5,-0.3372218594502537,Z8,"{""type"":""Polygon"",""coordinates"":[[[80.38000085238967,26.42499852504799],[80.38000085238967,26.550000484178604],[80.31999916095003,26.55000046314648],[80.31999916095003,26.42499845774166],[80.38000085238967,26.42499852504799]]]}",kanpur_features,kanpur,10,0.35,0.5,0.0,1000.0,0.8597847469192067,0.5,0.5,0.7517015343583003,0.8404883815905931,0.2482984656416963,0.61,0.0002997002997002997,0.0,False,False,0,High,132.61910740508102,0.0,False
